№	Код	Направление	Форма	Профиль	Бюджетные места 2026	Средний балл бюджет 2025	Плата за год	Заочка
1	01.03.2002	Прикладная математика и информатика	Очная	Компьютерное моделирование и информационные технологии	120	78,71	211 300 ?	Нет
2	02.03.2003	Математическое обеспечение и администрирование информационных систем	Очная	Системы искусственного интеллекта	60	84,45	211 300 ?	Нет
3	09.03.2001	Информатика и вычислительная техника	Очная	Разработка доверенного системного и прикладного программного обеспечения	145	82,27	211 300 ?	Да, но по другому профилю
			Очная	Программное обеспечение компьютерных систем и сетей	145	82,27	211 300 ?	Да
			Очная	Сетевые информационные технологии	145	82,27	211 300 ?	Да, но по другому профилю
			Заочная	Программное обеспечение компьютерных систем и сетей	35	83,1	93 600 ?	Да
			Очная	Программное обеспечение компьютерных систем и сетей (совместная образовательная программа с университетом БГТУ, г. Бухара, Республика Узбекистан)	нет бюджета	н/д	211 300 ?	Нет
			Очная	Технологии интернета вещей (на английском и китайском языках, совместная образовательная программа с университетом Уси, КНР)	нет бюджета	н/д	211 300 ?	Нет
4	09.03.2002	Информационные системы и технологии	Очная	Информационные системы в промышленности и бизнесе	32	84,99	211 300 ?	Нет
			Очная	Информатика и электроника (на английском и китайском языках, совместная образовательная программа с университетом Уси, КНР)	нет бюджета	н/д	211 300 ?	Нет
			Очная	Информационные системы в промышленности и бизнесе (на английском языке)	нет бюджета	н/д	289 000 ?	Нет
5	09.03.2003	Прикладная информатика	Очная	Информационные технологии в цифровой экономике	32	83,71	211 300 ?	Да
			Заочная	Информационные технологии в цифровой экономике	нет бюджета	н/д	93 600 ?	Да
6	09.03.2004	Программная инженерия	Очная	Технологии разработки программного обеспечения	41	90,21	229 400 ?	Нет
			Очная	Наука и технологии анализа данных (на английском и китайском языках, совместная образовательная программа с университетом Уси, КНР)	нет бюджета	н/д	229 400 ?	Нет
7	10.03.2001	Информационная безопасность	Очная	Техническая защита информации	45	80,96	211 300 ?	Нет
8	10.05.2003	Информационная безопасность автоматизированных систем	Очная	Безопасность значимых объектов критической информационной инфраструктуры	85	73,27	229 400 ?	Нет
9	11.03.2001	Радиотехника	Очная	Радиотехнические средства передачи, приема и обработки сигналов	24	67,69	211 300 ?	Да
			Заочная	Радиотехнические средства передачи, приема и обработки сигналов	10	71,08	93 000 ?	Да
10	11.03.2003	Конструирование и технология электронных средств	Очная	Проектирование и технология радиоэлектронных средств	22	67,65	211 300 ?	Нет
11	11.03.2004	Электроника и наноэлектроника	Очная	Микроэлектроника и наноэлектроника	82	66,01	211 300 ?	Нет
			Очная	Промышленная электроника	82	66,01	211 300 ?	Нет
			Очная	Электронные приборы и устройства	82	66,01	211 300 ?	Нет
			Очная	Промышленная электроника (на английском языке)	нет бюджета	н/д	289 000 ?	Нет
12	11.03.2002	Инфокоммуникационные технологии и системы связи	Очная	Цифровые телекоммуникации	87	66,61	211 300 ?	Нет
			Очная	Системы мобильной связи	87	66,61	211 300 ?	Нет
			Очная	Многоканальные телекоммуникационные системы	87	66,61	211 300 ?	Нет
13	38.03.05	Бизнес-информатика	Очная	Автоматизация бизнес-процессов и технологии анализа данных	6	90,63	211 300 ?	Нет
